id,name,nameId,firstName,lastName,title,company,phone,phone2,email,website,address,address2,city,state,zipcode,country,visibility,assignedTo,backgroundInfo,twitter,linkedin,skype,googleplus,lastUpdated,lastActivity,updatedBy,priority,leadSource,leadDate,rating,createDate,facebook,otherUrl,leadtype,closedate,expectedCloseDate,interest,leadstatus,dealvalue,leadscore,dealstatus,timezone,doNotCall,doNotEmail,trackingKey,dupeCheck,fingerprintId,reverseIp,c_position,c_broker,c_gender,c_alternateemail,c_middlename,c_fax,c_pofammount,c_proofoffunds,c_comment,c_businesscategory,c_contacttype,c_preventmarketingemail,c_newbuyer,c_username,c_password,c_Whatkindofworkdoyoudo,c_Preferedlocation,c_Cashonhandandinbank,c_cds,c_MoneyMarketFunds,c_StockAndBonds,c_AccountsNotesReceivable,c_VestedPortionofPensionorProfitSharing,c_CashValueOfLifeInsurance,c_RealEstate,c_HomeAptCondoFarmBusiness,c_OtherAssets1,c_OtherAssets2,c_Automobiles,c_Furniture,c_DueBanksLoans,c_NameofBanks,c_RealestateMortgageHome,c_AutoLoans,c_RevolvingCharges,c_OtherDebtegHealthLifeIns,c_TotalAssets,c_TotalLiabilities,c_ProfitSharing,c_AmountofDownPayment,c_Doyoucurrentlyownabusiness,c_Haveyoueverfiledforbankruptcy,c_Haveyoueverownedabusinessbefore,c_Howdidyouhearaboutus,c_Howlonghaveyoubeenlookingforabusiness,c_Education,c_Experiance,c_DoYouHaveAPartnerartner,c_Ifyeswhatisthatpersonrelationshiptoyou,c_Isyourdownpaymentavailabletoday,c_NetCashFlowDesired,c_Whatisthesourceofyourdownpayment,c_Whatisyourcurrentworkstatus,c_Whatisyourtimeframeforpurchase,c_Wouldyouliketoreceiveemailsdescribingnewlistingsorlis,c_DescribeAdditionalSourceofFunding,c_HowMuchHaveYouAllocatedForTheDownpayment,c_billingstreet,c_billingcity,c_billingstate,c_billingpostalcode,c_billingcountry,c_buyer_status,c_newsletter,c_county,c_BuyerLeadSource,c_jobTitle,c_phone3,c_email2,c_email3
53,"Galimou Test","Galimou Test_53",galimou,test,,,,,g@galimou.com,,"123 anystreet Street",,anycity,,,,Public,marc,,,,,,"February 20, 2017, 10:24:12 AM","February 20, 2017, 10:24:13 AM",vadmin,,,,,"February 20, 2017, 10:23:27 AM",,,,,,,,,,,,0,0,vp2b60dSAPkkhX50Y5ZK1WlYFc9m2eMo,1,,,,"House Broker",,,,,,,,,Buyer,0,0,g@galimou.com,galimou,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
2,"Sivan Infeld","Sivan Infeld_2",sivan,Infeld,,,123,,sivan@test.com,,,,,,,,Public,Anyone,"test msg",,,,,"August 1, 2016, 6:35:45 PM","August 1, 2016, 6:36:06 PM",vadmin,,,,,"August 1, 2016, 5:52:59 PM",,,,,,,,,,,,0,0,Qf9V0nrunjgqiQ3WBuBFjVNeCd7O5jNM,1,1,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
8,"Joshua Factor","Joshua Factor_8",Joshua,Factor,,,8457388152,,josh@verticacrm.com,,"2 Thornbrook Lane",,Suffern,"New York",10901,,Public,marc,,,,,,"August 11, 2016, 3:05:57 PM","February 20, 2017, 10:24:13 AM",jfactor,,,,,"August 11, 2016, 2:59:17 PM",,,,,,,,,,,,0,0,E0uoZREu8KyVK6lW0H7KF798MqA6L2gf,1,,,,"Joshua Factor",,,,8457388152,,,,,Buyer,0,0,josh@verticacrm.com,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
7,"Testge Testlast","Testge Testlast_7",testge,testlast,,,,,testge@test.com,,,,,,,,Private,marc,,,,,,"August 8, 2016, 5:22:15 PM","August 8, 2016, 5:22:15 PM",api,,,,,"August 8, 2016, 5:22:15 PM",,,,,,,,,,,,0,0,Qd4w3G45hXyFmO1GBA1K9ijhHsYMKUsq,1,,,,,,,,,,,,,Buyer,0,0,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
6,"Marc Gottlieb","Marc Gottlieb_6",Marc,Gottlieb,,,,,marc@verticacrm.com,,"123 Main Street",,Anywhere,"New York",11516,,Public,marc,,,,,,"November 10, 2016, 12:09:26 AM","November 10, 2016, 12:09:27 AM",mbryn,,,,,"August 8, 2016, 4:35:24 PM",,,,,,,,0.00,,,,0,0,9FqkbUBMkuMIjNVYnbktKZZY7oKRUIbT,1,,,,"John Doe",,,,,0,,,,Buyer,0,0,marc@verticacrm.com,test,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
5,"Anthony Store","Anthony Store_5",Anthony,Store,,,,,info@businessbrokerscrm.com,,"42 Broadway Suite 1815",,"New York","New York",10004,,Public,marc,,,,,,"August 8, 2016, 10:25:48 AM","November 20, 2016, 6:47:45 PM",api,,,,,"August 8, 2016, 10:25:48 AM",,,,,,,,,,,,0,0,geP4WbN6Y6fuOm76Y1c0JbGhFsvBLzcR,1,,,,"House Broker",,,,,,,,,Buyer,0,0,info@businessbrokerscrm.com,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
9,"Lyslei Chirico","Lyslei Chirico_9",Lyslei,Chirico,,,,,elo@elobusinessbrokerage.com,,"123 anywhere st.",,"Boca Raton",Florida,99090,,Public,marc,,,,,,"August 11, 2016, 9:12:47 PM","August 11, 2016, 9:12:57 PM",jfactor,,,,,"August 11, 2016, 8:55:11 PM",,,,,,,,0.00,,,,0,0,MEd8yEd81i1cNhReL3nULwIS9mzJ3PNF,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,elo@elobusinessbrokerage.com,12345,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
13,"Jorg Bunbury","Jorg Bunbury_13",Jorg,Bunbury,,,"021 398 51 71",,gsa310-32@yahoo.com,,"Gartenhof 132",,Aran,,1091,,Public,marc,,,,,,"August 16, 2016, 7:28:40 AM","August 16, 2016, 7:28:40 AM",api,,,,,"August 16, 2016, 7:28:40 AM",,,,,,,,,,,,0,0,G3HKyCljvnYenJQV9wilnsDB1IcRuNo0,0,,,,,,,,,,,,,Buyer,0,0,gsa310-32@yahoo.com,LsRb7PU5Z,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
15,"Arnold Cochran","Arnold Cochran_15",Arnold,Cochran,,,,,arnold_cochran@yahoo.com,,"124 anywhere st.",,"Port St. Lucie",Iowa,08787,,Public,jfactor,,,,,,"August 17, 2016, 6:48:03 PM","August 17, 2016, 6:48:14 PM",jfactor,,,,,"August 17, 2016, 6:30:10 PM",,,,,,,,0.00,,,,0,0,2xjGm6RTJaxmVdqQKi1fB6JM7VXAi8Bb,1,,,,"Joshua Factor",,,,,0,,gfrgfgfgfgf,"[\"Apparel\",\"Healthcare\",\"Absentee Business\",\"Accounting\\/Payroll\\/Tax\",\"Adult home\\/assisted living\"]",Buyer,0,0,arnold_cochran@yahoo.com,12345,Banker,Miami,9999999999999999.99,2222222222222200.00,4444444444.00,33333333333.00,555555555555.00,6666666666.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank of Brazil",0.00,0.00,0.00,,0.00,0.00,,$150-300K,Yes,Yes,Yes,,"18 Months",College,"Senior Executive",,,Yes,"$500-1 Mil","Friend / Relative",Employed,"5 Months",Yes,safdsafsfsdfdsfdfdfdfdfdfdfdfdfdfd,,,,,,,Registered,1,,None,,,,
17,"Chuck Howard","Chuck Howard_17",Chuck,Howard,,,,,tangentbrokerage@gmail.com,,"123 anywhere st.",,"Test City",Illinois,99090,,Public,marc,,,,,,"August 18, 2016, 3:58:46 PM","August 18, 2016, 3:58:56 PM",jfactor,,,,,"August 18, 2016, 3:40:52 PM",,,,,,,,0.00,,,,0,0,eqnygGr8HR3wLjYgkJ7c5xZjZicnfRAj,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,tangentbrokerage@gmail.com,12345,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
